source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
item_scroll,Protection from Acid,EXCLUDES,cbt_damage,Acid Damage,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Breath Weapons,EXCLUDES,save_breath,Breath Weapons,separate dragon and non-dragon varieties,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Cold,EXCLUDES,cbt_damage,Cold Damage,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Electricity,EXCLUDES,cbt_damage,Electrical Damage,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Gas,EXCLUDES,save_poison,Gas Attacks,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Illusions,EXCLUDES,rule_illusion,Illusions,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Paralyzation,EXCLUDES,rule_immobile,Paralysis,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Petrification,EXCLUDES,save_petrify,Petrification,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Possession,EXCLUDES,spell_magic_jar,Possession,a distinct protection variety,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Protection from Magical Weapons,EXCLUDES,item_magic_weapon,Magic Weapons,separate blunt and edged varieties,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
item_scroll,Cursed Scroll,DERIVED_FROM,cursed_item,Cursed Item,appears among the scroll results,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
rule_dm_discretion,DM Encouragement,GATES,item_scroll,Cursed Scroll,the referee is urged to induce reading,,UA,85,III.B.2. SCROLLS,TRUE,page-sweep
sys_classes,Class Restriction,CONSTRAINS,item_wand,Wands,entries tagged by permitted class,,UA,86,III.D.2. WANDS,TRUE,page-sweep
rule_charges,Full Charges,CONSTRAINS,xp_magic_items,Experience Point Value,values assume a full item,,UA,86,III.D.2. WANDS,TRUE,page-sweep
item_wand,Wand of Wonder,TRIGGERS,rule_dm_discretion,Random Effect,unpredictable results,,UA,86,III.D.2. WANDS,FALSE,page-sweep
item_magic_item,Amulet Versus Undead,MODIFIES,xp_magic_items,Experience Point Value,value scales per level of the item,,UA,88,TABLE III.E.6.,TRUE,page-sweep
item_magic_item,Anything Item,ALTERNATIVE_TO,item_magic_item,Any Known Item,duplicates other items,,UA,88,TABLE III.E.6.,TRUE,page-sweep
item_magic_item,Dust and Pinch Items,CONSTRAINS,xp_magic_items,Experience Point Value,valued per pinch rather than per item,,UA,88,TABLE III.E.6.,TRUE,page-sweep
class_magic_user,Magic-User,GATES,item_magic_item,Boccob's Blessed Book,class-restricted item,,UA,88,TABLE III.E.6.,TRUE,page-sweep
class_fighter,Fighter,GATES,item_magic_item,Bracers of Archery,class-restricted item,,UA,88,TABLE III.E.6.,TRUE,page-sweep
class_cleric,Cleric,GATES,item_magic_item,Dicerion of Light and Darkness,class-restricted item,,UA,88,TABLE III.E.6.,TRUE,page-sweep
